Date,BTC-USD,ETH-USD
2023-01-01,16625.080078125,1200.96484375
2023-01-02,16688.470703125,1214.6566162109375
2023-01-03,16679.857421875,1214.77880859375
2023-01-04,16863.23828125,1256.526611328125
2023-01-05,16836.736328125,1250.4385986328125
2023-01-06,16951.96875,1269.3790283203125
2023-01-07,16955.078125,1264.2703857421875
2023-01-08,17091.14453125,1287.3594970703125
2023-01-09,17196.5546875,1321.5389404296875
2023-01-10,17446.29296875,1336.5860595703125
2023-01-11,17934.896484375,1387.9327392578125
2023-01-12,18869.587890625,1417.9384765625
2023-01-13,19909.57421875,1451.6148681640625
2023-01-14,20976.298828125,1550.7069091796875
2023-01-15,20880.798828125,1552.4794921875
2023-01-16,21169.6328125,1576.83349609375
2023-01-17,21161.51953125,1567.8460693359375
2023-01-18,20688.78125,1515.5069580078125
2023-01-19,21086.79296875,1552.5565185546875
2023-01-20,22676.552734375,1659.754150390625
2023-01-21,22777.625,1627.1181640625
2023-01-22,22720.416015625,1628.382080078125
2023-01-23,22934.431640625,1628.2510986328125
2023-01-24,22636.46875,1556.604248046875
2023-01-25,23117.859375,1611.7110595703125
2023-01-26,23032.77734375,1603.10595703125
2023-01-27,23078.728515625,1598.156494140625
2023-01-28,23031.08984375,1572.43505859375
2023-01-29,23774.56640625,1646.1556396484375
2023-01-30,22840.138671875,1567.3265380859375
2023-01-31,23139.283203125,1586.535400390625
2023-02-01,23723.76953125,1641.792724609375
2023-02-02,23471.87109375,1643.2415771484375
2023-02-03,23449.322265625,1664.74560546875
2023-02-04,23331.84765625,1667.0592041015625
2023-02-05,22955.666015625,1631.6458740234375
2023-02-06,22760.109375,1616.2470703125
2023-02-07,23264.291015625,1672.0035400390625
2023-02-08,22939.3984375,1650.716796875
2023-02-09,21819.0390625,1546.438232421875
2023-02-10,21651.18359375,1514.869140625
2023-02-11,21870.875,1539.9267578125
2023-02-12,21788.203125,1515.03369140625
2023-02-13,21808.1015625,1507.1658935546875
2023-02-14,22220.8046875,1556.8751220703125
2023-02-15,24307.841796875,1673.7459716796875
2023-02-16,23623.474609375,1640.067626953125
2023-02-17,24565.6015625,1694.7833251953125
2023-02-18,24641.27734375,1691.8194580078125
2023-02-19,24327.642578125,1681.4361572265625
2023-02-20,24829.1484375,1702.6751708984375
2023-02-21,24436.353515625,1658.036376953125
2023-02-22,24188.84375,1643.231689453125
2023-02-23,23947.4921875,1651.0738525390625
2023-02-24,23198.126953125,1608.3731689453125
2023-02-25,23175.375,1594.9149169921875
2023-02-26,23561.212890625,1640.817138671875
2023-02-27,23522.87109375,1634.326416015625
2023-02-28,23147.353515625,1605.8951416015625
2023-03-01,23646.55078125,1663.4337158203125
2023-03-02,23475.466796875,1647.3193359375
2023-03-03,22362.6796875,1569.1676025390625
2023-03-04,22353.349609375,1566.9239501953125
2023-03-05,22435.513671875,1564.46875
2023-03-06,22429.7578125,1567.398681640625
2023-03-07,22219.76953125,1561.93310546875
2023-03-08,21718.080078125,1534.0882568359375
2023-03-09,20363.021484375,1438.6607666015625
2023-03-10,20187.244140625,1429.1580810546875
2023-03-11,20632.41015625,1482.61669921875
2023-03-12,22163.94921875,1590.29296875
2023-03-13,24197.533203125,1680.3089599609375
2023-03-14,24746.07421875,1703.507080078125
2023-03-15,24375.9609375,1656.1805419921875
2023-03-16,25052.7890625,1677.2154541015625
2023-03-17,27423.9296875,1792.485107421875
2023-03-18,26965.87890625,1761.65966796875
2023-03-19,28038.67578125,1785.5765380859375
2023-03-20,27767.236328125,1735.3212890625
2023-03-21,28175.81640625,1806.7607421875
2023-03-22,27307.4375,1737.717041015625
2023-03-23,28333.97265625,1816.4051513671875
2023-03-24,27493.28515625,1752.0447998046875
2023-03-25,27494.70703125,1743.7647705078125
2023-03-26,27994.330078125,1775.6767578125
2023-03-27,27139.888671875,1715.4608154296875
2023-03-28,27268.130859375,1772.78564453125
2023-03-29,28348.44140625,1793.0018310546875
2023-03-30,28033.5625,1792.7371826171875
2023-03-31,28478.484375,1822.0220947265625
2023-04-01,28411.03515625,1813.860595703125
2023-04-02,28199.30859375,1795.7081298828125
2023-04-03,27790.220703125,1810.297119140625
2023-04-04,28168.08984375,1871.005126953125
2023-04-05,28177.984375,1909.114013671875
2023-04-06,28044.140625,1872.922607421875
2023-04-07,27925.859375,1865.6361083984375
2023-04-08,27947.794921875,1849.4981689453125
2023-04-09,28333.05078125,1859.3878173828125
2023-04-10,29652.98046875,1911.20751953125
2023-04-11,30235.05859375,1892.189697265625
2023-04-12,30139.052734375,1920.68212890625
2023-04-13,30399.06640625,2012.6346435546875
2023-04-14,30485.69921875,2101.635498046875
2023-04-15,30318.49609375,2092.466796875
2023-04-16,30315.35546875,2120.005859375
2023-04-17,29445.044921875,2076.242919921875
2023-04-18,30397.552734375,2104.537353515625
2023-04-19,28822.6796875,1936.4034423828125
2023-04-20,28245.98828125,1943.09765625
2023-04-21,27276.91015625,1849.9998779296875
2023-04-22,27817.5,1874.2286376953125
2023-04-23,27591.384765625,1862.06201171875
2023-04-24,27525.33984375,1842.7574462890625
2023-04-25,28307.59765625,1866.753662109375
2023-04-26,28422.701171875,1866.564208984375
2023-04-27,29473.787109375,1908.786376953125
2023-04-28,29340.26171875,1892.5128173828125
2023-04-29,29248.48828125,1908.9169921875
2023-04-30,29268.806640625,1876.92431640625
2023-05-01,28091.568359375,1831.954833984375
2023-05-02,28680.537109375,1870.789306640625
2023-05-03,29006.30859375,1904.65185546875
2023-05-04,28847.7109375,1877.7041015625
2023-05-05,29534.384765625,1995.0609130859375
2023-05-06,28904.623046875,1900.2218017578125
2023-05-07,28454.978515625,1873.076416015625
2023-05-08,27694.2734375,1849.042724609375
2023-05-09,27658.775390625,1848.6031494140625
2023-05-10,27621.755859375,1842.4014892578125
2023-05-11,27000.7890625,1796.4906005859375
2023-05-12,26804.990234375,1808.019775390625
2023-05-13,26784.078125,1796.1148681640625
2023-05-14,26930.638671875,1800.5009765625
2023-05-15,27192.693359375,1817.5499267578125
2023-05-16,27036.650390625,1824.1214599609375
2023-05-17,27398.802734375,1821.859619140625
2023-05-18,26832.208984375,1801.728515625
2023-05-19,26890.12890625,1812.5894775390625
2023-05-20,27129.5859375,1820.47802734375
2023-05-21,26753.826171875,1804.5313720703125
2023-05-22,26851.27734375,1817.5347900390625
2023-05-23,27225.7265625,1854.380615234375
2023-05-24,26334.818359375,1800.0999755859375
2023-05-25,26476.20703125,1805.9537353515625
2023-05-26,26719.291015625,1828.689697265625
